Ab-29,CD8T-29
31.15200365,0
155.4077104,77.05147059
187.0722953,71.18382353
195.682289,131.0735294
215.1824997,149.0735294
283.9340836,413.1176471
417.5482539,635.0955882
417.8330254,1163.095588
431.1446255,2023.568515
495.7047217,2229.037619
479.418256,1371.128504
837.7508623,1082.626936
,465.0864143
,167.5526
,99.93504518
,45.84100129
,27.80965333
,0
